age,sex,education,province,citizenship_status,agegroup
50.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,50 to 65
45.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,35 to 50
71.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,65 to 80
51.4,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
54.2,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,50 to 65
52.3,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,50 to 65
41.3,Male,Less than high school diploma or its equivalent,Quebec,By birth,35 to 50
46.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
70.3,Female,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,65 to 80
42.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,35 to 50
55.7,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
41.3,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
42.9,Male,University certificate or diploma below the bachelor's level,Quebec,By birth,35 to 50
31.8,Male,Trade certificate or diploma,Saskatchewan,By birth,21 to 35
23.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,21 to 35
32.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,21 to 35
49.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
36.5,Female,"University certificate, diploma or degree above the bach...",British Columbia,By naturalization,35 to 50
45.2,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
54.2,Male,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
37,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
79.3,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
42.1,Female,"University certificate, diploma or degree above the bach...",New Brunswick,By birth,35 to 50
35.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
58.6,Male,Less than high school diploma or its equivalent,Nova Scotia,By birth,50 to 65
49.2,Male,Trade certificate or diploma,Quebec,By birth,35 to 50
27.2,Female,Trade certificate or diploma,Quebec,By birth,21 to 35
65.6,Male,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,65 to 80
57.5,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By naturalization,50 to 65
68.5,Male,High school diploma or a high school equivalency certificate,Ontario,By naturalization,65 to 80
39.2,Female,"University certificate, diploma or degree above the bach...",Quebec,By birth,35 to 50
56.7,Female,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,50 to 65
26.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,21 to 35
80,Male,Less than high school diploma or its equivalent,Alberta,By naturalization,65 to 80
47.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
21.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
28.8,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,21 to 35
26.8,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,21 to 35
33.3,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
29.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,21 to 35
63.2,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
64.5,Female,University certificate or diploma below the bachelor's level,Prince Edward Island,By birth,50 to 65
54.8,Male,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,50 to 65
54.3,Female,Less than high school diploma or its equivalent,Ontario,By birth,50 to 65
79.9,Male,Less than high school diploma or its equivalent,Nova Scotia,By birth,65 to 80
67.2,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
76.9,Female,Less than high school diploma or its equivalent,Quebec,By naturalization,65 to 80
69.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,65 to 80
42.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
46.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,35 to 50
42.9,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
38.8,Male,Trade certificate or diploma,Ontario,By birth,35 to 50
68.5,Male,High school diploma or a high school equivalency certificate,Newfoundland and Labrador,By birth,65 to 80
64.4,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
78.8,Female,Trade certificate or diploma,Quebec,By birth,65 to 80
66.1,Male,Less than high school diploma or its equivalent,Alberta,By birth,65 to 80
80,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
67.7,Female,Less than high school diploma or its equivalent,British Columbia,By birth,65 to 80
29.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,21 to 35
63.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
41.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
75.8,Male,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
25.9,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
77.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
46.3,Male,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,35 to 50
50.7,Male,Trade certificate or diploma,Alberta,By birth,50 to 65
64.2,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
43.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
60.2,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
37.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,35 to 50
65.8,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
61.4,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
69.3,Female,Trade certificate or diploma,Manitoba,By birth,65 to 80
33,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,21 to 35
37.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,35 to 50
52.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,50 to 65
62.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,50 to 65
61.8,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,50 to 65
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,65 to 80
77.8,Male,Less than high school diploma or its equivalent,Alberta,By naturalization,65 to 80
76.7,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
36,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,35 to 50
64.3,Female,Less than high school diploma or its equivalent,British Columbia,By birth,50 to 65
22.8,Male,"College, CEGEP or other non-university certificate or di...",Newfoundland and Labrador,By birth,21 to 35
66.6,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
42.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Manitoba,By birth,35 to 50
27.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,21 to 35
57.1,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
52,Male,Less than high school diploma or its equivalent,Quebec,By birth,50 to 65
35.3,Male,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,35 to 50
60.6,Male,High school diploma or a high school equivalency certificate,Manitoba,By birth,50 to 65
69,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
34.7,Male,"College, CEGEP or other non-university certificate or di...",Saskatchewan,By naturalization,21 to 35
61.3,Male,Trade certificate or diploma,Nova Scotia,By birth,50 to 65
56.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,50 to 65
55.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,50 to 65
65.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,65 to 80
50.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,50 to 65
69.8,Male,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
69.3,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,65 to 80
75.2,Male,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
67.8,Male,"University certificate, diploma or degree above the bach...",New Brunswick,By birth,65 to 80
67,Female,"University certificate, diploma or degree above the bach...",Alberta,By birth,65 to 80
27.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,21 to 35
34,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,21 to 35
67.9,Male,Less than high school diploma or its equivalent,Newfoundland and Labrador,By birth,65 to 80
55,Female,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,50 to 65
80,Female,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
44.6,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
37.6,Female,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,35 to 50
73.2,Female,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,65 to 80
53.1,Female,Less than high school diploma or its equivalent,Ontario,By naturalization,50 to 65
41.6,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
66,Male,"College, CEGEP or other non-university certificate or di...",Alberta,By naturalization,65 to 80
48.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
76.3,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
27.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,21 to 35
45.9,Female,University certificate or diploma below the bachelor's level,British Columbia,By birth,35 to 50
34,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,21 to 35
80,Female,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,65 to 80
58.8,Male,Trade certificate or diploma,Saskatchewan,By birth,50 to 65
63.1,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,50 to 65
21.8,Female,High school diploma or a high school equivalency certificate,Quebec,By naturalization,21 to 35
44.5,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,35 to 50
60.6,Male,Trade certificate or diploma,Nova Scotia,By birth,50 to 65
54,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,50 to 65
41,Male,University certificate or diploma below the bachelor's level,British Columbia,By naturalization,35 to 50
37.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
80,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,65 to 80
46,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
39.4,Male,"University certificate, diploma or degree above the bach...",British Columbia,By birth,35 to 50
69.9,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
47.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,35 to 50
72.8,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,65 to 80
44.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
63.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
65.3,Male,High school diploma or a high school equivalency certificate,New Brunswick,By birth,65 to 80
59.8,Female,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
69,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Saskatchewan,By birth,65 to 80
36.3,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,35 to 50
52.1,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
55.3,Male,Trade certificate or diploma,Ontario,By birth,50 to 65
39.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
39.9,Male,Trade certificate or diploma,Quebec,By birth,35 to 50
30.7,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,21 to 35
51.7,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
24.5,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,21 to 35
44.6,Male,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,35 to 50
28.6,Male,Trade certificate or diploma,Saskatchewan,By birth,21 to 35
35.6,Female,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,35 to 50
70.6,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
37.7,Male,University certificate or diploma below the bachelor's level,Ontario,By birth,35 to 50
42,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,35 to 50
47.1,Male,Trade certificate or diploma,Saskatchewan,By birth,35 to 50
65.8,Female,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,65 to 80
70.8,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
68.5,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
32.9,Female,Trade certificate or diploma,Ontario,By birth,21 to 35
67,Female,"University certificate, diploma or degree above the bach...",Nova Scotia,By birth,65 to 80
64.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,50 to 65
58.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
22.7,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,21 to 35
53.7,Male,"University certificate, diploma or degree above the bach...",Ontario,By birth,50 to 65
56.7,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
37.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
59.2,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
38.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,35 to 50
49.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
36.1,Male,Less than high school diploma or its equivalent,Saskatchewan,By birth,35 to 50
42.8,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,35 to 50
73.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,65 to 80
50.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,50 to 65
27.4,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
53,Female,University certificate or diploma below the bachelor's level,Alberta,By birth,50 to 65
68.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By naturalization,65 to 80
38.7,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,35 to 50
42.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
69.3,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,65 to 80
22,Male,Less than high school diploma or its equivalent,Quebec,By birth,21 to 35
76.3,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
34.5,Female,High school diploma or a high school equivalency certificate,Manitoba,By birth,21 to 35
50.6,Female,High school diploma or a high school equivalency certificate,Alberta,By birth,50 to 65
80,Male,Trade certificate or diploma,Alberta,By naturalization,65 to 80
76.3,Male,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
74.3,Male,Less than high school diploma or its equivalent,British Columbia,By birth,65 to 80
46.6,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By naturalization,35 to 50
54.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,50 to 65
33.1,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,21 to 35
30.4,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
26.3,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,21 to 35
72.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,65 to 80
55.6,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
80,Male,Less than high school diploma or its equivalent,Nova Scotia,By birth,65 to 80
76.7,Male,University certificate or diploma below the bachelor's level,Newfoundland and Labrador,By birth,65 to 80
32.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By birth,21 to 35
22.5,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,21 to 35
76.7,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
66.5,Male,"University certificate, diploma or degree above the bach...",Nova Scotia,By birth,65 to 80
75.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By naturalization,65 to 80
29.3,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By naturalization,21 to 35
76.9,Female,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
19.8,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,20 or less
53.3,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,50 to 65
70.9,Male,High school diploma or a high school equivalency certificate,Prince Edward Island,By birth,65 to 80
56.6,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
42.6,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
23.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By birth,21 to 35
31.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,21 to 35
80,Female,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,65 to 80
67.8,Male,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,65 to 80
49.8,Male,"University certificate, diploma or degree above the bach...",Nova Scotia,By birth,35 to 50
63.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,50 to 65
48.8,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
47.3,Male,High school diploma or a high school equivalency certificate,New Brunswick,By birth,35 to 50
47.1,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,35 to 50
73.5,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,65 to 80
66.8,Female,"University certificate, diploma or degree above the bach...",Ontario,By naturalization,65 to 80
50.3,Female,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
27.7,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,21 to 35
65.3,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
72.9,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
80,Male,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
42.8,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
19.5,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,20 or less
33.1,Male,Trade certificate or diploma,Manitoba,By birth,21 to 35
50.5,Male,"College, CEGEP or other non-university certificate or di...",British Columbia,By naturalization,50 to 65
74.2,Female,High school diploma or a high school equivalency certificate,Ontario,By naturalization,65 to 80
66.7,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,65 to 80
65.6,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
80,Female,Trade certificate or diploma,Manitoba,By birth,65 to 80
64.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,50 to 65
72.3,Male,Less than high school diploma or its equivalent,Quebec,By naturalization,65 to 80
44.4,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,35 to 50
75.2,Male,Less than high school diploma or its equivalent,British Columbia,By birth,65 to 80
67.8,Male,"University certificate, diploma or degree above the bach...",British Columbia,By naturalization,65 to 80
79.7,Female,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,65 to 80
20.8,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,21 to 35
37.6,Female,"College, CEGEP or other non-university certificate or di...",Prince Edward Island,By birth,35 to 50
63.9,Male,Trade certificate or diploma,British Columbia,By birth,50 to 65
47,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
38.4,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,35 to 50
32,Male,Less than high school diploma or its equivalent,Manitoba,By birth,21 to 35
59.3,Male,Trade certificate or diploma,British Columbia,By birth,50 to 65
80,Male,High school diploma or a high school equivalency certificate,Ontario,By naturalization,65 to 80
44.9,Male,High school diploma or a high school equivalency certificate,British Columbia,By naturalization,35 to 50
68.7,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
54.6,Male,Trade certificate or diploma,British Columbia,By birth,50 to 65
58.3,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
49.7,Female,"College, CEGEP or other non-university certificate or di...",Ontario,By naturalization,35 to 50
39.4,Female,Trade certificate or diploma,Quebec,By birth,35 to 50
66.2,Female,Trade certificate or diploma,Prince Edward Island,By birth,65 to 80
44,Female,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,35 to 50
64.6,Male,High school diploma or a high school equivalency certificate,New Brunswick,By birth,50 to 65
55.2,Male,High school diploma or a high school equivalency certificate,Nova Scotia,By birth,50 to 65
64.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Newfoundland and Labrador,By birth,50 to 65
67.3,Female,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
80,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,65 to 80
48,Female,Trade certificate or diploma,Quebec,By birth,35 to 50
77,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Quebec,By birth,65 to 80
53.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
51,Female,Trade certificate or diploma,Saskatchewan,By birth,50 to 65
69.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,65 to 80
18.9,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,20 or less
58.1,Male,High school diploma or a high school equivalency certificate,Manitoba,By birth,50 to 65
64.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
51.7,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,50 to 65
56.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Alberta,By naturalization,50 to 65
33.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Nova Scotia,By birth,21 to 35
80,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,65 to 80
38.3,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,35 to 50
33.8,Female,"College, CEGEP or other non-university certificate or di...",Alberta,By birth,21 to 35
56.5,Female,University certificate or diploma below the bachelor's level,Quebec,By birth,50 to 65
74.7,Male,Less than high school diploma or its equivalent,Manitoba,By birth,65 to 80
33.1,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,21 to 35
78.2,Male,High school diploma or a high school equivalency certificate,Saskatchewan,By birth,65 to 80
67,Female,Less than high school diploma or its equivalent,Ontario,By naturalization,65 to 80
20.8,Male,High school diploma or a high school equivalency certificate,Quebec,By birth,21 to 35
80,Male,University certificate or diploma below the bachelor's level,Alberta,By birth,65 to 80
47.3,Male,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,35 to 50
61.6,Female,Less than high school diploma or its equivalent,Alberta,By naturalization,50 to 65
78.4,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
78.8,Female,High school diploma or a high school equivalency certificate,Manitoba,By birth,65 to 80
62.2,Male,Trade certificate or diploma,Saskatchewan,By birth,50 to 65
71.4,Male,"College, CEGEP or other non-university certificate or di...",Ontario,By birth,65 to 80
58.4,Male,"College, CEGEP or other non-university certificate or di...",Prince Edward Island,By birth,50 to 65
44,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,35 to 50
66.6,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
43.6,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
71.6,Female,"College, CEGEP or other non-university certificate or di...",Nova Scotia,By birth,65 to 80
49.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By naturalization,35 to 50
60.9,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,50 to 65
64.6,Female,"University certificate, diploma or degree above the bach...",Ontario,By birth,50 to 65
63,Male,"University certificate, diploma or degree above the bach...",Quebec,By birth,50 to 65
70.3,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By naturalization,65 to 80
74.4,Male,Less than high school diploma or its equivalent,Ontario,By birth,65 to 80
65.9,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,65 to 80
51.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,By naturalization,50 to 65
66.8,Female,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
50.4,Male,"College, CEGEP or other non-university certificate or di...",New Brunswick,By birth,50 to 65
42.2,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
25.3,Male,High school diploma or a high school equivalency certificate,Alberta,By birth,21 to 35
64.5,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,50 to 65
45.2,Female,High school diploma or a high school equivalency certificate,New Brunswick,By birth,35 to 50
45.7,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,35 to 50
76.1,Male,High school diploma or a high school equivalency certificate,Ontario,By birth,65 to 80
41.2,Female,"College, CEGEP or other non-university certificate or di...",British Columbia,By birth,35 to 50
27.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,21 to 35
71.3,Female,Less than high school diploma or its equivalent,Quebec,By birth,65 to 80
58,Female,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
59.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,50 to 65
36.3,Male,"College, CEGEP or other non-university certificate or di...",Manitoba,By naturalization,35 to 50
26.1,Male,Trade certificate or diploma,Newfoundland and Labrador,By birth,21 to 35
80,Male,Less than high school diploma or its equivalent,Nova Scotia,By birth,65 to 80
56,Male,High school diploma or a high school equivalency certificate,British Columbia,By birth,50 to 65
59.5,Female,"College, CEGEP or other non-university certificate or di...",Quebec,By naturalization,50 to 65
34.7,Female,"College, CEGEP or other non-university certificate or di...",Manitoba,By birth,21 to 35
65.4,Female,Less than high school diploma or its equivalent,New Brunswick,By birth,65 to 80
63.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Prince Edward Island,By birth,50 to 65
76.7,Male,Trade certificate or diploma,Manitoba,By birth,65 to 80
62.4,Female,High school diploma or a high school equivalency certificate,Quebec,By birth,50 to 65
34.1,Female,"University certificate, diploma or degree above the bach...",Quebec,By birth,21 to 35
37.3,Male,"College, CEGEP or other non-university certificate or di...",Quebec,By birth,35 to 50
44.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Ontario,By birth,35 to 50
62.3,Male,High school diploma or a high school equivalency certificate,Ontario,By naturalization,50 to 65
